Date,Company,Title,Location,URL,Score,Label,Source,Posted,Match Signals
2026-03-01,Phigenics,Pre-Sales Engineer / Solutions Consultant,"Chicago, Cook County",https://www.adzuna.com/land/ad/5623540887?se=yMTfMxEV8RGloeotAmUcTA&utm_medium=api&utm_source=a3e99981&v=97318CEA812173A8FF912778132B59F96C6135F0,190,Stretch but Apply,adzuna,2026-02-10,"Core: pre-sales, analytics, bi | Tools: cloud | Transfer: salesforce→crm(+1), tableau→bi dashboards(+2)"
2026-03-01,Phigenics,Pre-Sales Engineer / Solutions Consultant,"Chicago, Cook County",https://www.adzuna.com/land/ad/5623540887?se=GFigRXkV8RGloeotAmUcTA&utm_medium=api&utm_source=a3e99981&v=97318CEA812173A8FF912778132B59F96C6135F0,190,Stretch but Apply,adzuna,2026-02-10,"Core: pre-sales, analytics, bi | Tools: cloud | Transfer: salesforce→crm(+1), tableau→bi dashboards(+2)"
2026-03-02,Phigenics,Pre-Sales Engineer / Solutions Consultant,"Chicago, Cook County",https://www.adzuna.com/land/ad/5623540887?se=RMg-TUUW8RGwgJYN2d8ObQ&utm_medium=api&utm_source=a3e99981&v=97318CEA812173A8FF912778132B59F96C6135F0,190,Stretch but Apply,adzuna,2026-02-10,"Core: pre-sales, analytics, bi | Tools: cloud | Transfer: salesforce→crm(+1), tableau→bi dashboards(+2)"
2026-03-03,Phigenics,Pre-Sales Engineer / Solutions Consultant,"Chicago, Cook County",https://www.adzuna.com/land/ad/5623540887?se=THz-hA4X8RGmpeXJHGBLqg&utm_medium=api&utm_source=a3e99981&v=97318CEA812173A8FF912778132B59F96C6135F0,190,Stretch but Apply,adzuna,2026-02-10,"Core: pre-sales, analytics, bi | Tools: cloud | Transfer: salesforce→crm(+1), tableau→bi dashboards(+2)"
2026-03-04,Phigenics,Pre-Sales Engineer / Solutions Consultant,"Chicago, Cook County",https://www.adzuna.com/land/ad/5623540887?se=qK4ANdcX8RGll6sp4jsvmw&utm_medium=api&utm_source=a3e99981&v=97318CEA812173A8FF912778132B59F96C6135F0,190,Stretch but Apply,adzuna,2026-02-10,"Core: pre-sales, analytics, bi | Tools: cloud | Transfer: salesforce→crm(+1), tableau→bi dashboards(+2)"
2026-03-05,Phigenics,Pre-Sales Engineer / Solutions Consultant,"Chicago, Cook County",https://www.adzuna.com/land/ad/5623540887?se=7tjrDqEY8RGVqfhniUgPPg&utm_medium=api&utm_source=a3e99981&v=97318CEA812173A8FF912778132B59F96C6135F0,190,Stretch but Apply,adzuna,2026-02-10,"Core: pre-sales, analytics, bi | Tools: cloud | Transfer: salesforce→crm(+1), tableau→bi dashboards(+2)"
2026-03-06,Phigenics,Pre-Sales Engineer / Solutions Consultant,"Chicago, Cook County",https://www.adzuna.com/land/ad/5623540887?se=7NgqCWkZ8RGFi--vwEH3wg&utm_medium=api&utm_source=a3e99981&v=97318CEA812173A8FF912778132B59F96C6135F0,190,Stretch but Apply,adzuna,2026-02-10,"Core: pre-sales, analytics, bi | Tools: cloud | Transfer: salesforce→crm(+1), tableau→bi dashboards(+2)"
2026-03-07,Phigenics,Pre-Sales Engineer / Solutions Consultant,"Chicago, Cook County",https://www.adzuna.com/land/ad/5623540887?se=oOxPJzAa8RGcB9b2w1hBeQ&utm_medium=api&utm_source=a3e99981&v=97318CEA812173A8FF912778132B59F96C6135F0,190,Stretch but Apply,adzuna,2026-02-10,"Core: pre-sales, analytics, bi | Tools: cloud | Transfer: salesforce→crm(+1), tableau→bi dashboards(+2)"
2026-03-08,Phigenics,Pre-Sales Engineer / Solutions Consultant,"Chicago, Cook County",https://www.adzuna.com/land/ad/5623540887?se=pAw5c_ka8RGfde9g6fQGlA&utm_medium=api&utm_source=a3e99981&v=97318CEA812173A8FF912778132B59F96C6135F0,190,Stretch but Apply,adzuna,2026-02-10,"Core: pre-sales, analytics, bi | Tools: cloud | Transfer: salesforce→crm(+1), tableau→bi dashboards(+2)"
2026-03-09,Phigenics,Pre-Sales Engineer / Solutions Consultant,"Chicago, Cook County",https://www.adzuna.com/land/ad/5623540887?se=VCDNNMYb8RG3QbZamQNRnw&utm_medium=api&utm_source=a3e99981&v=97318CEA812173A8FF912778132B59F96C6135F0,190,Stretch but Apply,adzuna,2026-02-10,"Core: pre-sales, analytics, bi | Tools: cloud | Transfer: salesforce→crm(+1), tableau→bi dashboards(+2)"
